planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,03 Jan 2025,Macau (MFM),Kaohsiung (KHH),NX668,1:04,12:25 PM,12:51 PM,1:50 PM,green,Landed 1:55 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,03 Jan 2025,Kaohsiung (KHH),Macau (MFM),NX657,1:22,9:00 AM,9:01 AM,10:25 AM,green,Landed 10:23 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,02 Jan 2025,Macau (MFM),Kaohsiung (KHH),NX658,1:02,9:45 PM,10:11 PM,11:15 PM,green,Landed 11:13 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,02 Jan 2025,Kuala Lumpur (KUL),Macau (MFM),NX921,3:34,4:40 PM,5:18 PM,8:30 PM,yellow,Landed 8:52 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,02 Jan 2025,Macau (MFM),Kuala Lumpur (KUL),NX922,3:34,11:45 AM,11:55 AM,3:40 PM,green,Landed 3:29 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,02 Jan 2025,Bangkok (BKK),Macau (MFM),NX989,2:09,2:45 AM,2:54 AM,6:25 AM,green,Landed 6:02 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,01 Jan 2025,Macau (MFM),Bangkok (BKK),NX990,2:35,11:55 PM,12:01 AM,1:45 AM,green,Landed 1:36 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,01 Jan 2025,Xiamen (XMN),Macau (MFM),NX131,1:04,8:15 PM,9:31 PM,9:45 PM,red,Landed 10:35 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,01 Jan 2025,Macau (MFM),Xiamen (XMN),NX132,1:19,5:45 PM,6:54 PM,7:10 PM,red,Landed 8:13 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,01 Jan 2025,Seoul (ICN),Macau (MFM),NX821,3:39,2:05 PM,2:49 PM,5:05 PM,yellow,Landed 5:28 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,01 Jan 2025,Macau (MFM),Seoul (ICN),NX822,3:01,8:25 AM,8:48 AM,1:05 PM,green,Landed 12:49 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,31 Dec 2024,Shanghai (PVG),Macau (MFM),NX101,2:17,8:45 PM,9:08 PM,11:45 PM,green,Landed 11:25 PM
