Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,01 Jan 2025,Phnom Penh(PNH),Shenzhen(SZX),KR929,2:14,11:50 PM,12:19 AM,3:30 AM,Landed 3:34 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,01 Jan 2025,Bangkok(BKK),Phnom Penh(PNH),KR702,0:53,9:25 PM,9:40 PM,10:30 PM,Landed 10:32 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,01 Jan 2025,Phnom Penh(PNH),Bangkok(BKK),KR701,—,7:10 PM,—,8:25 PM,Estimated departure  7:17 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,01 Jan 2025,Ningbo(NGB),Phnom Penh(PNH),KR918,—,1:30 PM,—,4:50 PM,Estimated departure  2:08 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,01 Jan 2025,Phnom Penh(PNH),Ningbo(NGB),KR917,3:24,7:40 AM,7:52 AM,12:30 PM,Landed 12:16 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,31 Dec 2024,Macau(MFM),Phnom Penh(PNH),KR502,2:20,10:40 PM,11:12 PM,12:20 AM,Landed 12:32 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,31 Dec 2024,Airai(ROR),Macau(MFM),KR5562,3:43,6:40 PM,7:22 PM,9:40 PM,Landed 10:06 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,31 Dec 2024,Macau(MFM),Airai(ROR),KR5561,3:46,12:30 PM,1:23 PM,5:40 PM,Landed 6:09 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,31 Dec 2024,Phnom Penh(PNH),Macau(MFM),KR503,2:11,8:05 AM,8:55 AM,11:35 AM,Landed 12:06 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,30 Dec 2024,Changsha(CSX),Phnom Penh(PNH),KR942,3:07,11:15 PM,11:25 PM,1:30 AM,Landed 1:32 AM,green
